npa,country,province
264,Anguilla,NULL
268,Antigua and Barbuda,NULL
242,Bahamas,NULL
246,Barbados,NULL
441,Bermuda,NULL
284,British Virgin Islands,NULL
345,Cayman Islands,NULL
767,Dominica,NULL
809,Dominican Republic,NULL
829,Dominican Republic,NULL
849,Dominican Republic,NULL
473,Grenada,NULL
658,Jamaica,NULL
876,Jamaica,NULL
664,Montserrat,NULL
869,Saint Kitts and Nevis,NULL
758,Saint Lucia,NULL
784,Saint Vincent and the Grenadines,NULL
721,Sint Maarten,NULL
868,Trinidad and Tobago,NULL
649,Turks and Caicos,NULL
340,US Virgin Islands,NULL
670,Northern Mariana Islands,NULL
671,Guam,NULL
684,American Samoa,NULL
787,Puerto Rico,NULL
939,Puerto Rico,NULL
403,Canada,Alberta
587,Canada,Alberta
780,Canada,Alberta
825,Canada,Alberta
368,Canada,Alberta
236,Canada,British Columbia
250,Canada,British Columbia
604,Canada,British Columbia
672,Canada,British Columbia
778,Canada,British Columbia
204,Canada,Manitoba
431,Canada,Manitoba
584,Canada,Manitoba
506,Canada,New Brunswick
709,Canada,Newfoundland and Labrador
902,Canada,Nova Scotia
782,Canada,Nova Scotia
902,Canada,Prince Edward Island
782,Canada,Prince Edward Island
226,Canada,Ontario
249,Canada,Ontario
289,Canada,Ontario
343,Canada,Ontario
365,Canada,Ontario
416,Canada,Ontario
437,Canada,Ontario
519,Canada,Ontario
548,Canada,Ontario
613,Canada,Ontario
647,Canada,Ontario
705,Canada,Ontario
753,Canada,Ontario
807,Canada,Ontario
905,Canada,Ontario
263,Canada,Quebec
354,Canada,Quebec
367,Canada,Quebec
418,Canada,Quebec
438,Canada,Quebec
450,Canada,Quebec
514,Canada,Quebec
579,Canada,Quebec
581,Canada,Quebec
819,Canada,Quebec
873,Canada,Quebec
306,Canada,Saskatchewan
639,Canada,Saskatchewan
474,Canada,Saskatchewan
867,Canada,Northwest Territories
867,Canada,None
867,Canada,Yukon
