Afghanistan-cellular AWCC,9370,0.1249
Afghanistan-cellular AWCC,9371,0.1249
Afghanistan-cellular Areeba,9376,0.132
Afghanistan-cellular Areeba,9377,0.132
Afghanistan-cellular CDMA,9375,0.25
Afghanistan-cellular Etisalat,9373,0.109
Afghanistan-cellular Etisalat,9378,0.109
Afghanistan-cellular Others,937,0.25
Afghanistan-cellular Roshan,9372,0.069
Afghanistan-cellular Roshan,9379,0.069
Afghanistan-cellular Salaam,9374,0.1095
Afghanistan-proper,93,0.25
Albania-Tirana,355422,0.128
Albania-Tirana,355423,0.128
Albania-cellular AMC,35568,0.179
Albania-cellular Eagle,35567,0.1595
Albania-cellular Plus,35566,0.3
Albania-cellular Vodafone,35569,0.175
Albania-proper,355,0.128
Algeria-Algiers,21320,0.0419
Algeria-Algiers,21321,0.0419
Algeria-Algiers,21322,0.0419
Algeria-CAT,2131,0.0419
Algeria-cellular Mobilis,21365,0.29
Algeria-cellular Mobilis,21366,0.29
Algeria-cellular Mobilis,21367,0.29
Algeria-cellular Mobilis,21369,0.29
Algeria-cellular Mobilis,2139619,0.29
Algeria-cellular Orascom,2137,0.29
Algeria-cellular Orascom,21377,0.29
Algeria-cellular Orascom,21378,0.29
Algeria-cellular Orascom,21379,0.29
Algeria-cellular Wataniya,2135,0.29
Algeria-proper,213,0.0419
